alpha,rradd,tslice,algo,avg_cpu_burst,avg_wait_time,avg_turnaround_time, total_cxtswitch_no,total_preemption_no
0.1,END,10,SJF,55.000,763.608,820.608,1000,0
0.1,END,10,SRT,55.000,764.125,821.199,1037,37
0.1,END,10,FCFS,55.000,1017.504,1074.504,1000,0
0.1,END,10,RR,55.000,686.262,752.262,5500,4500
0.1,BEGINNING,10,SJF,55.000,763.608,820.608,1000,0
0.1,BEGINNING,10,SRT,55.000,764.125,821.199,1037,37
0.1,BEGINNING,10,FCFS,55.000,1017.504,1074.504,1000,0
0.1,BEGINNING,10,RR,55.000,696.832,762.814,5491,4491
0.1,END,20,SJF,55.000,763.608,820.608,1000,0
0.1,END,20,SRT,55.000,764.125,821.199,1037,37
0.1,END,20,FCFS,55.000,1017.504,1074.504,1000,0
0.1,END,20,RR,55.000,693.716,754.716,3000,2000
0.1,BEGINNING,20,SJF,55.000,763.608,820.608,1000,0
0.1,BEGINNING,20,SRT,55.000,764.125,821.199,1037,37
0.1,BEGINNING,20,FCFS,55.000,1017.504,1074.504,1000,0
0.1,BEGINNING,20,RR,55.000,534.764,595.756,2996,1996
0.1,END,50,SJF,55.000,763.608,820.608,1000,0
0.1,END,50,SRT,55.000,764.125,821.199,1037,37
0.1,END,50,FCFS,55.000,1017.504,1074.504,1000,0
0.1,END,50,RR,55.000,807.414,865.414,1500,500
0.1,BEGINNING,50,SJF,55.000,763.608,820.608,1000,0
0.1,BEGINNING,50,SRT,55.000,764.125,821.199,1037,37
0.1,BEGINNING,50,FCFS,55.000,1017.504,1074.504,1000,0
0.1,BEGINNING,50,RR,55.000,559.520,617.518,1499,499
0.2,END,10,SJF,55.000,763.608,820.608,1000,0
0.2,END,10,SRT,55.000,764.028,821.094,1033,33
0.2,END,10,FCFS,55.000,1017.504,1074.504,1000,0
0.2,END,10,RR,55.000,686.262,752.262,5500,4500
0.2,BEGINNING,10,SJF,55.000,763.608,820.608,1000,0
0.2,BEGINNING,10,SRT,55.000,764.028,821.094,1033,33
0.2,BEGINNING,10,FCFS,55.000,1017.504,1074.504,1000,0
0.2,BEGINNING,10,RR,55.000,696.832,762.814,5491,4491
0.2,END,20,SJF,55.000,763.608,820.608,1000,0
0.2,END,20,SRT,55.000,764.028,821.094,1033,33
0.2,END,20,FCFS,55.000,1017.504,1074.504,1000,0
0.2,END,20,RR,55.000,693.716,754.716,3000,2000
0.2,BEGINNING,20,SJF,55.000,763.608,820.608,1000,0
0.2,BEGINNING,20,SRT,55.000,764.028,821.094,1033,33
0.2,BEGINNING,20,FCFS,55.000,1017.504,1074.504,1000,0
