alpha,rradd,tslice,algo,avg_cpu_burst,avg_wait_time,avg_turnaround_time, total_cxtswitch_no,total_preemption_no
0.1,END,10,SJF,100.000,1008.738,1110.738,1000,0
0.1,END,10,SRT,100.000,1008.738,1110.738,1000,0
0.1,END,10,FCFS,100.000,1907.154,2009.154,1000,0
0.1,END,10,RR,100.000,2265.498,2385.498,10000,9000
0.1,BEGINNING,10,SJF,100.000,1008.738,1110.738,1000,0
0.1,BEGINNING,10,SRT,100.000,1008.738,1110.738,1000,0
0.1,BEGINNING,10,FCFS,100.000,1907.154,2009.154,1000,0
0.1,BEGINNING,10,RR,100.000,1188.352,1308.316,9982,8982
0.1,END,20,SJF,100.000,1008.738,1110.738,1000,0
0.1,END,20,SRT,100.000,1008.738,1110.738,1000,0
0.1,END,20,FCFS,100.000,1907.154,2009.154,1000,0
0.1,END,20,RR,100.000,2073.684,2183.684,5000,4000
0.1,BEGINNING,20,SJF,100.000,1008.738,1110.738,1000,0
0.1,BEGINNING,20,SRT,100.000,1008.738,1110.738,1000,0
0.1,BEGINNING,20,FCFS,100.000,1907.154,2009.154,1000,0
0.1,BEGINNING,20,RR,100.000,1088.414,1198.406,4996,3996
0.1,END,50,SJF,100.000,1008.738,1110.738,1000,0
0.1,END,50,SRT,100.000,1008.738,1110.738,1000,0
0.1,END,50,FCFS,100.000,1907.154,2009.154,1000,0
0.1,END,50,RR,100.000,1954.178,2058.178,2000,1000
0.1,BEGINNING,50,SJF,100.000,1008.738,1110.738,1000,0
0.1,BEGINNING,50,SRT,100.000,1008.738,1110.738,1000,0
0.1,BEGINNING,50,FCFS,100.000,1907.154,2009.154,1000,0
0.1,BEGINNING,50,RR,100.000,1028.318,1132.316,1999,999
0.2,END,10,SJF,100.000,1008.738,1110.738,1000,0
0.2,END,10,SRT,100.000,1008.738,1110.738,1000,0
0.2,END,10,FCFS,100.000,1907.154,2009.154,1000,0
0.2,END,10,RR,100.000,2265.498,2385.498,10000,9000
0.2,BEGINNING,10,SJF,100.000,1008.738,1110.738,1000,0
0.2,BEGINNING,10,SRT,100.000,1008.738,1110.738,1000,0
0.2,BEGINNING,10,FCFS,100.000,1907.154,2009.154,1000,0
0.2,BEGINNING,10,RR,100.000,1188.352,1308.316,9982,8982
0.2,END,20,SJF,100.000,1008.738,1110.738,1000,0
0.2,END,20,SRT,100.000,1008.738,1110.738,1000,0
0.2,END,20,FCFS,100.000,1907.154,2009.154,1000,0
0.2,END,20,RR,100.000,2073.684,2183.684,5000,4000
0.2,BEGINNING,20,SJF,100.000,1008.738,1110.738,1000,0
0.2,BEGINNING,20,SRT,100.000,1008.738,1110.738,1000,0
0.2,BEGINNING,20,FCFS,100.000,1907.154,2009.154,1000,0
0.2,BEGINNING,20,RR,100.000,1088.414,1198.406,4996,3996
0.2,END,50,SJF,100.000,1008.738,1110.738,1000,0
0.2,END,50,SRT,100.000,1008.738,1110.738,1000,0
0.2,END,50,FCFS,100.000,1907.154,2009.154,1000,0
0.2,END,50,RR,100.000,1954.178,2058.178,2000,1000
0.2,BEGINNING,50,SJF,100.000,1008.738,1110.738,1000,0
0.2,BEGINNING,50,SRT,100.000,1008.738,1110.738,1000,0
0.2,BEGINNING,50,FCFS,100.000,1907.154,2009.154,1000,0
0.2,BEGINNING,50,RR,100.000,1028.318,1132.316,1999,999
0.3,END,10,SJF,100.000,1008.738,1110.738,1000,0
0.3,END,10,SRT,100.000,1008.738,1110.738,1000,0
0.3,END,10,FCFS,100.000,1907.154,2009.154,1000,0
0.3,END,10,RR,100.000,2265.498,2385.498,10000,9000
0.3,BEGINNING,10,SJF,100.000,1008.738,1110.738,1000,0
0.3,BEGINNING,10,SRT,100.000,1008.738,1110.738,1000,0
0.3,BEGINNING,10,FCFS,100.000,1907.154,2009.154,1000,0
0.3,BEGINNING,10,RR,100.000,1188.352,1308.316,9982,8982
0.3,END,20,SJF,100.000,1008.738,1110.738,1000,0
0.3,END,20,SRT,100.000,1008.738,1110.738,1000,0
0.3,END,20,FCFS,100.000,1907.154,2009.154,1000,0
0.3,END,20,RR,100.000,2073.684,2183.684,5000,4000
0.3,BEGINNING,20,SJF,100.000,1008.738,1110.738,1000,0
0.3,BEGINNING,20,SRT,100.000,1008.738,1110.738,1000,0
0.3,BEGINNING,20,FCFS,100.000,1907.154,2009.154,1000,0
0.3,BEGINNING,20,RR,100.000,1088.414,1198.406,4996,3996
0.3,END,50,SJF,100.000,1008.738,1110.738,1000,0
